PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
TPB,2010,MARCH,14,Bleach Vol. 30,,9.99,Viz,2953
TPB,2010,MARCH,15,Superman Brainiac,,12.99,DC,2945
TPB,2010,MARCH,16,Avengers X-Men Utopia,,34.99,Marvel,2936
TPB,2010,MARCH,17,Star Wars Omnibus Boba Fett Vol. 1,,24.99,Dark Horse,2721
TPB,2010,MARCH,18,Bronx Kill HC,,19.99,DC,2538
TPB,2010,MARCH,19,X-Force Vol. 3 Not Forgotten,,14.99,Marvel,2513
TPB,2010,MARCH,20,Grimm Fairy Tales Vol. 7,,15.99,Zenescope,2385
TPB,2010,MARCH,21,Unknown Soldier Vol. 2 Easy Kill,,17.99,DC,2379
TPB,2010,MARCH,22,"Transmetropolitan Vol. 6 Gouge AwayNew Ed",,14.99,DC,2301
TPB,2010,MARCH,23,Spider-Man American Son,,16.99,Marvel,2276
TPB,2010,MARCH,24,Wonder Woman Chronicles Vol. 1,,17.99,DC,2219
TPB,2010,MARCH,25,Chew Vol. 1,,9.99,Image,2155
TPB,2010,MARCH,26,Walking Dead Vol. 1 Days Gone Bye,,9.99,Image,2131
TPB,2010,MARCH,27,Invincible Iron Man HC Vol. 1,,39.99,Marvel,2122
TPB,2010,MARCH,28,"Walking Dead Vol. 11 Fear theHunters",,14.99,Image,2101
TPB,2010,MARCH,29,Batman International,,17.99,DC,2088
TPB,2010,MARCH,30,"Showcase Presents Worlds FinestVol. 3",,17.99,DC,2049
TPB,2010,MARCH,31,Wolverine Origins Romulus,,14.99,Marvel,1999
TPB,2010,MARCH,32,Gantz Vol. 9,,12.99,Dark Horse,1928
TPB,2010,MARCH,33,Superman New Krypton HC Vol. 3,,24.99,DC,1839
TPB,2010,MARCH,34,"Captain America Winter SoldierUltimate Collection",,24.99,Marvel,1800
TPB,2010,MARCH,35,Iron Man Extremis HC,,24.99,Marvel,1776
TPB,2010,MARCH,36,"Super Hero Squad Get Yer Hero OnDigest",,9.99,Marvel,1750
TPB,2010,MARCH,37,Essential Rampaging Hulk Vol. 2,,19.99,Marvel,1716
TPB,2010,MARCH,38,Aliens More Than Human Vol. 1,,15.99,Dark Horse,1671
TPB,2010,MARCH,39,X-Men Prelude To Onslaught,,29.99,Marvel,1667
TPB,2010,MARCH,40,Iron Man End,,16.99,Marvel,1665
TPB,2010,MARCH,41,"Spider-Man Complete Clone Saga EpicBook 01",,34.99,Marvel,1645
TPB,2010,MARCH,42,Ghost Riders Heavens On Fire,,16.99,Marvel,1630
TPB,2010,MARCH,43,"Chronicles of Kull Vol. 2 HellBeneath Atlantis",,18.99,Dark Horse,1627
TPB,2010,MARCH,44,Creeper By Steve Ditko HC,,39.99,DC,1627
TPB,2010,MARCH,45,Chobits Dark Horse Omnibus Ed Vol. 1,,24.99,Dark Horse,1609
TPB,2010,MARCH,46,Sam Kieth Sketchbooks Vol. 1,,9.99,IDW,1607
TPB,2010,MARCH,47,"Marvel Masterworks Invincible IronMan Vol. 1",,24.99,Marvel,1605
TPB,2010,MARCH,48,Wonder Woman Ends of The Earth,,14.99,DC,1590
TPB,2010,MARCH,49,Marvel Masterworks X-Men HC Vol. 8,,54.99,Marvel,1583
TPB,2010,MARCH,50,New Avengers Reunion,,14.99,Marvel,1563
TPB,2010,MARCH,51,Xxxholic Vol. 15,,10.99,Random House,1559
TPB,2010,MARCH,52,"Marvel Masterworks Atlas Era TalesTo Astonish HC Vol. 3",,59.99,Marvel,1553
TPB,2010,MARCH,53,"X-Men Forever Vol. 2 Secret Historyof Sentinels",,16.99,Marvel,1531
